,bullfrog,bullfrog_vals,bullfrog_grad_cosine,albatross,albatross_vals,albatross_grad_cosine,orangutan,orangutan_vals,orangutan_grad_cosine,goose,goose_vals,goose_grad_cosine,vizsla,vizsla_vals,vizsla_grad_cosine,ice cream,ice cream_vals,ice cream_grad_cosine,rule,rule_vals,rule_grad_cosine,capuchin,capuchin_vals,capuchin_grad_cosine,cicada,cicada_vals,cicada_grad_cosine,bucket,bucket_vals,bucket_grad_cosine,cellular telephone,cellular telephone_vals,cellular telephone_grad_cosine,spoonbill,spoonbill_vals,spoonbill_grad_cosine,lawn mower,lawn mower_vals,lawn mower_grad_cosine,drum,drum_vals,drum_grad_cosine,coho,coho_vals,coho_grad_cosine,punching bag,punching bag_vals,punching bag_grad_cosine
460,tension,0.014780652,0.012251044,flour mill,0.0077415863,0.0069353674,carton,0.044909388,0.038013466,dragonfly egg,0.010451574,0.009360854,fins,0.053310823,0.0464022,coin tray,0.06723109,0.05115909,light switch,0.054002285,0.043892134,tableware,0.045357347,0.038892183,hitch,0.047491327,0.036602225,crop,0.06944736,0.04924059,carved,0.069811575,0.050047036,ranch,0.04691565,0.0386678,scat,0.082465895,0.06162269,steamboat,0.057073567,0.03920745,small,0.0426215,0.031290594,present,0.067353316,0.047114097
461,keypad,0.014740453,0.012217727,optical instrument,0.007733617,0.006928227,denim fabric,0.04490396,0.038008872,gibbon,0.010420847,0.009333332,froglet,0.05326271,0.04636032,lid,0.067091525,0.05105288,candy bags,0.053999495,0.043889843,reflective,0.04524221,0.03879346,pilot,0.04741535,0.036543664,incense,0.06944354,0.049237885,ear,0.06979217,0.05003313,jagged,0.04682855,0.038596015,drainboard,0.0824507,0.061611325,metal,0.05693494,0.039112218,camouflage,0.04250982,0.031208612,skirt,0.06724326,0.04703711
462,scorpion,0.014729071,0.012208287,mooring line,0.0077290204,0.0069241077,t-shirt rack,0.044804823,0.037924964,venetian,0.010344533,0.009264984,burners,0.053126372,0.046241652,mortar,0.06702496,0.051002234,navigation bar,0.053943843,0.04384461,ring,0.045143034,0.03870841,fins,0.047284175,0.036442567,culinary preparation,0.06896658,0.048899703,diaphragm,0.06976405,0.050012972,moisturizing,0.04666833,0.03846396,wash cycle,0.08226577,0.061473142,pectoral fins,0.056854982,0.0390573,horse chestnut,0.04235407,0.031094264,farmhand,0.06718287,0.046994865
463,primate,0.014706889,0.012189907,diving equipment,0.0077157794,0.006912246,blue ticking,0.04477573,0.03790034,koala sanctuary,0.010311455,0.009235358,armor link,0.052990243,0.046123166,harvester,0.06696113,0.05095367,dragonfly needle,0.05394259,0.043843605,bartender,0.045009606,0.038594007,motorcycle,0.047251817,0.036417626,recipe,0.06846982,0.048547477,cash register,0.06975561,0.050006922,food bowl,0.046468727,0.03829945,detergent dispenser,0.082235925,0.06145084,delivery,0.05683644,0.03904455,organizer,0.042353485,0.03109384,branching,0.0671242,0.046953835
464,briefcase,0.014677589,0.012165621,business,0.0077061453,0.0069036162,wrist,0.044724103,0.03785663,crosswalk,0.010287067,0.009213512,heated,0.05291585,0.04605841,t-shaped,0.06694463,0.05094111,paint thinner,0.05368422,0.04363361,spiral,0.04498849,0.038575903,cable,0.047217753,0.03639137,pollen baskets,0.068321854,0.04844257,keychain,0.0697492,0.05000232,target,0.046336323,0.038190324,gas tank,0.0821418,0.061380498,decanter,0.05665727,0.03892146,inflatable,0.042301886,0.031055955,hold,0.06710437,0.046939958
465,nesting area,0.014578931,0.012083848,weapon,0.0076993615,0.0068975394,coach,0.044686828,0.037825093,plush,0.010269727,0.009197984,judges,0.052862324,0.046011817,current,0.06689384,0.05090246,walkman,0.053675584,0.043626584,birdseed,0.044980116,0.038568724,wipes,0.04714112,0.03633231,black pepper,0.06808318,0.048273344,glove,0.0697265,0.04998605,stability,0.04624684,0.038116574,horology,0.0820412,0.06130533,conkers,0.056547537,0.038846087,pixels,0.042219073,0.030995153,stereo,0.067088835,0.046929084
466,map,0.014535431,0.01204779,grey,0.0076485174,0.0068519926,pillows,0.04467744,0.037817135,safety cone,0.010195115,0.009131162,cast,0.0528339,0.045987085,penguin,0.066879146,0.050891288,deck,0.05362676,0.043586895,bowstring,0.04494422,0.038537942,heart,0.04710775,0.03630659,golf bag,0.0679854,0.048204012,change,0.06969726,0.04996509,unsegmented,0.046090096,0.03798738,flyswatter,0.082029395,0.061296508,sanitation worker,0.056547295,0.03884592,home,0.042177394,0.03096456,leg,0.06704216,0.046896443
467,tire,0.014408932,0.011942943,grain,0.007535074,0.0067503583,lid,0.04454444,0.037704565,play/pause,0.010168201,0.009107051,load,0.052816495,0.045971934,swiss,0.066879116,0.050891258,candy stands,0.053528547,0.043507077,rotating,0.044865273,0.038470246,engine component,0.04708388,0.036288194,hoop,0.067922436,0.048159365,hygiene,0.06934048,0.049709313,araneae,0.04600031,0.037913382,scuba gear,0.082006484,0.06127939,presentation,0.056467578,0.03879115,magnifying,0.0417433,0.03064587,bushes,0.06687629,0.046780415
468,appendage,0.014333427,0.011880358,people,0.007528226,0.006744225,covering,0.044357292,0.037546147,tick repellent,0.0101441685,0.009085531,pond,0.052748084,0.045912385,billiard chalk,0.06682169,0.050847553,compact,0.053474978,0.043463543,ping-pong racket,0.044640187,0.038277246,bicycle,0.04706345,0.03627245,anus,0.06785117,0.04810884,workers,0.06930526,0.049684074,wing-shaped,0.04570483,0.037669856,dropper,0.08185286,0.061164595,fan-shaped,0.056358248,0.03871605,meal,0.041674014,0.030594993,wildflower,0.066856086,0.046766285
469,dragonfly doctor,0.014318765,0.011868209,earth,0.0075120362,0.006729723,lock,0.04434849,0.037538704,mexican cuisine,0.010103882,0.009049445,howdah,0.05274468,0.045909423,blade,0.06675884,0.050799735,hand sanitizer,0.053444594,0.043438833,button,0.044624493,0.038263787,instrument,0.04698499,0.036211975,oilseed,0.06782484,0.048090167,flash suppressor,0.069249064,0.049643777,carcass,0.045675047,0.037645303,fortification,0.08172012,0.061065402,skirt,0.056320287,0.038689964,couch,0.04162263,0.030557279,trainer,0.06681575,0.04673806
470,fluid,0.014285259,0.011840433,hunting equipment,0.0075062006,0.0067244954,menu,0.04420232,0.037414975,chopsticks,0.010083271,0.009030987,anthill,0.052718114,0.045886297,maggots,0.066757634,0.05079881,hair clippers,0.05338485,0.04339028,curds,0.044596784,0.03824003,seashell,0.046972528,0.03620237,curds,0.067711174,0.048009567,mirror,0.069132805,0.04956044,organism,0.045620218,0.037600107,military,0.0811243,0.060620163,smoked fish,0.05630453,0.038679145,visitors,0.041563533,0.03051389,darkroom,0.06675879,0.046698216
471,salesperson,0.014190737,0.01176209,alligator,0.007472761,0.0066945413,coils,0.04397677,0.03722406,fishing,0.010030534,0.00898375,pressure,0.052628238,0.04580807,rose bush,0.066757254,0.05079852,wooden bars,0.05336626,0.04337517,coin tray,0.04444264,0.03810785,bass,0.046951655,0.036186293,photo,0.0675233,0.047876365,logs,0.069130026,0.04955845,soy sauce,0.045530856,0.03752646,tray,0.081046924,0.060562357,earthen,0.056300938,0.03867668,loyal,0.0415352,0.030493094,display device,0.066663265,0.046631396
472,pocket square,0.014037928,0.011635434,underwater craft,0.007421826,0.006648907,tiles,0.043883763,0.03714533,green felt,0.010024309,0.008978182,detergent,0.052603707,0.045786716,clear,0.06671264,0.050764583,dog toy,0.05333358,0.04334861,carving tools,0.04443925,0.038104944,bowl,0.04691955,0.03616154,cart,0.06752148,0.047875077,guide,0.06908265,0.049524486,sweet,0.04544235,0.037453514,artillery,0.08097096,0.060505584,event,0.055747166,0.03829626,sea,0.041515116,0.030478349,beam,0.0665216,0.0465323
473,outdoor fixture,0.013868019,0.011494601,punt,0.007407542,0.006636111,soap,0.043831635,0.03710121,powerful swimmer,0.00997369,0.008932841,grain,0.052555863,0.04574508,jaw,0.06670548,0.050759137,mooring line,0.05328565,0.04330965,log basket,0.044256605,0.037948333,rider,0.046836548,0.036097568,burglar,0.06731142,0.047726136,fresh,0.06899209,0.04945956,checkout line,0.0454193,0.03743451,refectory,0.08077154,0.060356576,chocolate fountain,0.055635855,0.03821979,dip,0.04145222,0.030432168,focus,0.0663733,0.04642857
474,deep,0.013853154,0.011482282,swiss cuisine,0.0073738433,0.006605923,tropical plants,0.04381347,0.037085835,friction,0.009860299,0.008831282,chopping block,0.052380625,0.045592546,ends,0.06652185,0.050619394,medical device,0.05287468,0.04297562,garden tool,0.044256493,0.037948243,pest,0.046683878,0.035979915,bench,0.06727506,0.047700357,anchor,0.068881534,0.049380302,gravy,0.045394376,0.03741397,tuner,0.08070666,0.060308088,item,0.0554175,0.03806979,ecosystem,0.041446667,0.030428102,measurement,0.06632489,0.0463947
475,sand timer,0.013790215,0.011430117,wastebasket,0.0073547713,0.0065888343,avian,0.043790873,0.0370667,cold climate,0.009774112,0.008754093,crank,0.052286044,0.045510225,gunpowder,0.06642516,0.050545827,newel post,0.052787,0.042904362,ladder,0.044212345,0.03791039,fossil,0.04641559,0.03577314,yellow,0.067153394,0.047614086,passengers,0.06878345,0.049309984,storyline,0.045385055,0.03740629,ping-pong racket,0.08067964,0.060287893,ketchup,0.05522252,0.037935846,anchor,0.041424114,0.030411534,collie,0.066260986,0.04635
476,brownish,0.013708443,0.0113623375,outerwear,0.007349119,0.0065837717,oak tree,0.043683723,0.036976017,basidiomycete,0.00974839,0.008731054,bait,0.052264743,0.04549168,sink,0.06637802,0.050509945,car part,0.052674063,0.042812563,reference section,0.044202805,0.037902206,muscle,0.046249203,0.035644896,binoculars,0.067147896,0.047610186,wipes,0.06870157,0.049251296,juicy,0.04523422,0.037281975,set,0.080589846,0.060220804,paint,0.05510464,0.03785487,tannins,0.04131426,0.030330887,sleeve,0.06622221,0.046322882
477,grates,0.0137061,0.011360396,tail fin,0.0072626723,0.0065063266,candy trays,0.043635584,0.036935262,pitchfork,0.0097012,0.008688787,plant material,0.05208782,0.045337692,cliff,0.066344276,0.050484277,stitches,0.052632153,0.042778507,pond,0.044149626,0.037856605,touchpad,0.0462405,0.03563819,selection,0.066941455,0.047463812,cinnamon,0.0686591,0.049220845,crab buckets,0.045190334,0.037245803,rugby field,0.080424234,0.060097054,tortilla,0.055090513,0.03784517,briefcase,0.041156597,0.030215142,coach,0.06622218,0.04632286
478,navigation bar,0.013656194,0.01131903,pediment,0.007256757,0.0065010274,dental floss,0.04345388,0.036781456,kite tail,0.009664755,0.008656146,quills,0.052076913,0.045328192,party,0.066291384,0.050444033,router,0.05243867,0.042621244,fishing net,0.04411371,0.037825808,stylus,0.04615441,0.035571836,makeup bag,0.06661826,0.04723467,mouthpiece,0.068527065,0.049126193,nail,0.045077287,0.037152633,sharp blade,0.08039402,0.06007447,wand,0.055018447,0.037795655,child-resistant,0.041145843,0.030207245,street,0.06603859,0.046194434
479,terrycloth,0.013637005,0.011303125,operating system,0.007163198,0.006417216,cap,0.043275025,0.03663007,parmesan cheese,0.009559483,0.008561859,movies,0.052045282,0.045300655,seashell,0.06628862,0.050441936,razor,0.05241308,0.042600445,obi (sash),0.044107128,0.037820168,boxing glove,0.046122782,0.03554747,medicine,0.06650165,0.047151975,earbuds,0.06842759,0.049054872,aquatic insect,0.044936582,0.037036657,gas detector,0.08026809,0.05998037,worm,0.054819714,0.03765913,levee,0.04099788,0.030098619,illustrations,0.06599884,0.046166632
480,interlinked,0.013619298,0.011288448,ignition button,0.0071555427,0.0064103547,fishing gps,0.043210693,0.036575615,hunt,0.009544183,0.008548159,celebration,0.051978163,0.045242235,cooker,0.06617586,0.05035612,ping-pong racket,0.052349295,0.042548597,skis,0.04410046,0.037814446,cote,0.046023417,0.035470895,underarm,0.06650029,0.047151014,clapper,0.068415,0.04904586,grapple claw,0.044781297,0.03690867,lobster cooker,0.080192536,0.05992391,grain bin,0.054818675,0.03765843,cooler,0.040959917,0.030070748,event,0.065939866,0.04612538
481,dragonfly wing,0.013517225,0.011203848,ocean floor,0.0070298687,0.0062977667,bill,0.04316017,0.03653285,wok,0.009509662,0.008517239,heating,0.05184251,0.045124162,warhead,0.06614145,0.050329935,nail bed,0.052345823,0.04254578,cleaning caddy,0.04409933,0.03781348,socket,0.045625243,0.035164002,candy trays,0.066367775,0.047057055,hem,0.0682708,0.048942477,pantry,0.044568792,0.036733527,hardware,0.08010942,0.059861805,windchest,0.054746192,0.037608624,kitchen,0.04090514,0.030030534,stand,0.06590524,0.04610116
482,caterpillar,0.013515355,0.011202297,crab buckets,0.0069580604,0.006233438,insulation,0.04312865,0.03650617,respiratory device,0.009468831,0.008480671,presentation,0.051803336,0.04509007,chinstrap,0.06611566,0.05031031,gun case,0.052278154,0.042490773,center,0.044023454,0.037748422,fingerboard,0.045588933,0.035136018,red light,0.06636273,0.047053482,sole,0.06826961,0.048941623,caribbean music,0.044534698,0.036705427,dispenser,0.07986886,0.059682045,mixer,0.054729182,0.03759694,reserve,0.040822495,0.029969849,conversion,0.06574328,0.045987867
483,pin,0.013373016,0.011084315,runway,0.006820745,0.0061104232,citrus,0.043047152,0.036437187,snout,0.009272292,0.008304637,ants,0.051794417,0.045082316,ridged,0.0660544,0.050263695,inscription,0.051908653,0.042190462,vinegar,0.04401616,0.037742168,pipette,0.04548184,0.035053484,cells,0.06581171,0.046662793,imprint,0.0682104,0.04889918,hard surface,0.044525534,0.036697872,wheelchair lift,0.079836614,0.059657954,rattles,0.054706354,0.037581258,brownish,0.04067089,0.029858558,outlet,0.0655819,0.045874976
484,tape measure,0.013325161,0.011044651,blade,0.00673611,0.0060346024,bristles,0.04290898,0.036320224,rice,0.009238962,0.00827479,stump,0.051762894,0.045054868,controller,0.06605066,0.05026085,foldable,0.05189088,0.04217601,mobile,0.043961592,0.037695378,fishing license.,0.0453218,0.03493014,pencil,0.06565244,0.046549857,plates,0.06816737,0.04886834,polymer,0.044206314,0.036434777,glassware,0.07978341,0.059618194,timepiece,0.054704264,0.037579823,heated,0.04062038,0.029821476,backdrop,0.06542515,0.045765325
485,bumper,0.013288059,0.011013899,lakes,0.006479089,0.0058043525,case,0.042841185,0.036262847,landform,0.009180068,0.008222037,lemon,0.05165445,0.044960476,unsegmented,0.06604772,0.050258607,wind chime,0.051769868,0.042077653,bulb,0.04395134,0.037686583,cup,0.045281276,0.0348989,measuring spoon,0.06560606,0.04651697,net,0.06810812,0.04882585,document,0.044205584,0.036434174,catcher,0.07974696,0.05959095,polyps,0.05465511,0.037546054,bank,0.040536106,0.029759603,spigot,0.065359145,0.045719158
486,moisturizing,0.013213974,0.010952499,hay bales,0.0064067743,0.0057395645,balloon basket,0.042637736,0.03609064,mythological figure,0.009127418,0.008174885,center,0.05162102,0.044931374,toothbrush,0.06589736,0.050144196,plates,0.05145365,0.041820638,candle,0.043885667,0.037630267,textured,0.045160975,0.034806184,exhaust,0.06560115,0.046513494,scale,0.068056196,0.048788633,naval officer,0.044177644,0.036411144,sour cream,0.079655685,0.05952276,pest,0.054646052,0.037539836,cello case,0.040509265,0.0297399,sphere,0.06529156,0.045671888
487,waterfowl,0.013116724,0.0108718835,navy,0.006375433,0.005711483,present,0.042574055,0.036036737,gray,0.008589551,0.007693147,prices,0.051619284,0.044929866,villain,0.06574413,0.0500276,weather vane,0.051404543,0.041780725,smoker,0.043867677,0.037614845,magnifying,0.045040466,0.03471331,coffee scoop,0.06555043,0.046477534,tip,0.06799197,0.048742592,plastic,0.0441142,0.036358852,moist soil,0.07930219,0.05925861,hydrophone,0.054521214,0.037454065,mudflats,0.04047551,0.02971512,pharmacy,0.06526455,0.04565299
488,africa,0.0130969295,0.01085548,male,0.0063273637,0.005668423,velcro,0.042528268,0.035997972,laboratory,0.008569145,0.007674873,letter,0.051581495,0.044896983,selection,0.06573186,0.050018262,glass tube,0.05120513,0.041618638,scorpion,0.04384894,0.03759878,one-piece,0.044973608,0.03466178,chopsticks,0.06534761,0.04633373,polyps,0.06789449,0.048672702,fishing gps,0.044098407,0.036345836,farmland,0.07929505,0.059253253,leaf litter,0.054507427,0.037444606,shiny,0.0403809,0.02964566,storage,0.06519301,0.04560295
489,lapels,0.013044618,0.010812124,scissors,0.0062754275,0.005621895,camel,0.042504534,0.03597789,brake system,0.00856465,0.0076708496,cds,0.051502187,0.04482794,smartphone,0.06571604,0.05000622,kitchenware,0.05120503,0.041618563,chopsticks,0.04380191,0.03755845,vegetable crisper,0.044773757,0.034507755,tow hook,0.065237395,0.04625558,opposable thumbs,0.067803584,0.04860754,gallinule,0.044043213,0.03630034,hook,0.07907706,0.05909037,spinning,0.054447092,0.037403144,comfortable,0.04034849,0.029621866,balconies,0.06518516,0.045597464
490,gold,0.012960775,0.010742628,terrain,0.006199736,0.005554087,eggs,0.042404402,0.03589313,adhesive,0.008498215,0.0076113474,second hand,0.051493317,0.044820227,white head,0.06566207,0.04996515,hazardous area,0.051111206,0.041542303,wild turkey,0.043781415,0.037540868,butterfly bush,0.044708014,0.034457088,garden,0.06515313,0.046195827,salesperson,0.067799255,0.048604436,concealer,0.04399839,0.036263403,other gondolas,0.07895162,0.058996633,carriage,0.05435141,0.03733743,pantry,0.0403476,0.02962121,stretched,0.06487657,0.0453816
491,diving board,0.012906297,0.010697475,spinning,0.0061795916,0.0055360403,cord,0.042398475,0.035888117,candlestick,0.008436164,0.007555772,small ears,0.051448975,0.044781633,soil,0.0656361,0.049945407,barber pole,0.05101601,0.04146492,gravel,0.04370948,0.0374792,leaf,0.044643924,0.03440769,hole,0.06513601,0.04618369,button,0.06767787,0.048517406,label,0.043901328,0.036183402,jug,0.078932926,0.058982667,absorber plate,0.054309554,0.037308678,stage,0.040329956,0.02960826,focal plane,0.0648642,0.04537294
492,rodent burrow,0.012879532,0.010675285,goal,0.0060214214,0.0053943424,briefcase,0.042360898,0.035856307,velcro,0.00832372,0.0074550593,stretchy,0.05143615,0.04477047,doctor,0.0654518,0.04980515,space bar,0.05080153,0.041290604,coils,0.043608516,0.037392624,cuckoo,0.044513162,0.03430691,saucer,0.06479815,0.045944132,farmhand,0.06767748,0.04851713,sculpture,0.04386694,0.036155064,titanium dioxide,0.078711465,0.058817185,funnel,0.054158904,0.037205182,smoothie,0.04029228,0.0295806,wall mount,0.06482431,0.04534504
493,keystone,0.012770478,0.010584896,wiry coat,0.0060196184,0.0053927265,portable,0.042348582,0.035845887,marsupial,0.008159307,0.0073077995,crust,0.051427446,0.04476289,clover-like,0.065442786,0.049798287,comb,0.0507498,0.041248553,playful,0.04352145,0.03731797,raptor,0.044497304,0.034294687,goggles,0.06479206,0.045939818,seasoning,0.067634225,0.04848613,crab cooker,0.043778263,0.036081977,skis,0.078574345,0.058714714,carcass,0.054097243,0.03716282,portable,0.040210392,0.029520484,opponents,0.064775564,0.045310948
494,hunting dog,0.0126627125,0.010495577,cello case,0.005982426,0.0053594066,kelp,0.04228155,0.035789136,kneaded,0.008125108,0.0072771786,foul smell,0.051385637,0.044726502,taproom,0.06541057,0.049773782,equipment,0.050715465,0.041220646,projectile,0.043500897,0.03730035,stuffed,0.04438798,0.03421043,food,0.06479126,0.045939256,hammer,0.06755381,0.048428476,creamy,0.04370118,0.036018446,ground,0.0785431,0.058691364,hot,0.053983204,0.037084483,silverware,0.040206432,0.02951758,pine trees,0.06474158,0.04528717
495,lug nut,0.012659657,0.010493046,knife block,0.0059550926,0.005334921,grain bin,0.04224795,0.0357607,polar bear,0.008112241,0.0072656535,imprint,0.05135704,0.044701606,kitchen,0.065354615,0.049731202,lollipops,0.050473697,0.04102415,cookware,0.04349312,0.03729368,herbivore,0.044342734,0.034175552,ink,0.06476842,0.045923054,refrigerator,0.06754012,0.04841866,sugar container,0.043638848,0.035967067,fishing cooler,0.07847808,0.05864279,flavored,0.053941853,0.037056074,edible,0.040092982,0.029434288,siding,0.064699784,0.045257926
496,switch,0.0126501145,0.010485135,crab ring,0.0059281834,0.005310813,photos,0.042229153,0.035744794,pedestrians,0.008054942,0.0072143343,match,0.051273447,0.04462885,warship,0.06532797,0.04971092,retractor,0.050464332,0.041016527,instrument,0.043458108,0.037263658,crema,0.044329356,0.034165245,nutmeg,0.06469389,0.04587021,counter,0.06736539,0.048293404,echinoderm,0.04353903,0.035884794,hair dryer,0.07830935,0.058516704,candle,0.053849634,0.03699272,decanter,0.040060095,0.029410142,residence,0.06427478,0.044960637
497,ring,0.012631421,0.010469641,candlestick,0.0058326414,0.0052252216,tweeter,0.042191125,0.0357126,shavings,0.008047514,0.0072076786,candy,0.051197287,0.044562556,strong jaw,0.065320656,0.04970536,artifact,0.05043404,0.040991914,speech bubble,0.04344868,0.03725557,cruciferous vegetable,0.044245534,0.034100637,reels,0.06445181,0.04569858,gauze,0.06718147,0.04816155,swiss,0.043512948,0.035863295,beverage,0.0782075,0.0584406,depth charges,0.053823758,0.03697495,university,0.040048297,0.029401483,plunger,0.06410379,0.044841032
498,large,0.012617195,0.010457853,guitar,0.0058054677,0.0052008773,metal strings,0.04210382,0.035638697,lattice,0.008034959,0.0071964376,kernels,0.05119504,0.044560604,aircraft carrier,0.06523628,0.049641144,log,0.050389167,0.040955443,spiked,0.04344778,0.037254803,sticky,0.04424241,0.034098238,swiss cuisine,0.064230695,0.045541793,navigation aid,0.06710978,0.048110154,ceramic,0.04342971,0.035794698,marine archaeologists,0.07800192,0.058286972,handlebars,0.05380411,0.03696145,barber,0.04000845,0.02937223,driveway,0.06398649,0.04475898
499,crustacean,0.012584563,0.010430802,boat,0.0057458994,0.0051475144,rural fencing,0.042073555,0.035613086,honey dipper,0.0080109555,0.007174937,cakes,0.05117941,0.044547,mouth,0.06518346,0.049600966,polar researcher,0.05038604,0.040952906,respiratory trees,0.043364428,0.037183337,small mouth,0.044151917,0.034028493,gutter,0.06419201,0.04551436,intelligent,0.06708198,0.04809023,loaf,0.043264,0.035658114,two riders,0.077775575,0.058117826,easel,0.053746752,0.036922045,tiny,0.03997256,0.029345874,vault,0.06396793,0.044745993
500,lens cap,0.012428988,0.010301852,pasture,0.0057346867,0.005137467,fishing cabin,0.041795336,0.03537759,makeup,0.008000653,0.0071657104,owner,0.051064707,0.04444716,screwdriver,0.065167755,0.04958901,wiper fluid,0.050296456,0.04088009,black feathers,0.04320953,0.037050515,watch,0.04409973,0.033988267,gel,0.0641611,0.045492448,insulation,0.06692815,0.04797995,deployment handle,0.043209165,0.035612933,waste,0.077759996,0.058106206,grapple claw,0.0536784,0.03687509,brown coat,0.039812196,0.029228147,defense,0.06386614,0.044674795
501,sea life,0.012412123,0.010287875,illustrations,0.0057129078,0.005117961,cover,0.04169067,0.03528899,camel,0.007996678,0.0071621425,address,0.051036876,0.044422932,opening,0.06515155,0.04957668,silverware,0.05027842,0.040865432,cuff,0.04311562,0.036969982,usb port,0.04401461,0.033922665,yellow light,0.06406637,0.04542528,casque,0.06690068,0.04796025,ashcan,0.0432048,0.035609327,spores,0.07761629,0.057998814,guacamole,0.053636998,0.036846656,tailpiece,0.03976025,0.029190011,florets,0.06382244,0.04464422
502,swiss,0.012406287,0.010283033,ground beef,0.0056695053,0.005079076,pod,0.041506328,0.03513296,ship,0.007911977,0.007086284,film,0.05101178,0.044401087,jagged,0.06514781,0.04957383,screws,0.050210077,0.040809885,restraint system,0.043086395,0.03694493,input device,0.04393948,0.033864766,coffee maker,0.064003885,0.045380972,padlock,0.06677695,0.047871564,froglet,0.043061547,0.035491258,sterile conditions,0.077485606,0.05790116,raised,0.053621657,0.036836118,place,0.039682314,0.029132795,beaker,0.063736916,0.044584394
503,odometer,0.01238817,0.010268018,shepherd,0.005448855,0.004881405,sealed,0.041473426,0.035105105,binocular,0.007890552,0.0070670983,tracking system,0.051001236,0.04439191,giraffe,0.06509572,0.049534187,songbook,0.050205037,0.040805783,perch,0.043064997,0.03692657,kitchen,0.043937407,0.033863164,watch,0.06396485,0.045353293,orange,0.066719,0.047830015,venice,0.042890172,0.03535001,fuel gauge,0.077402495,0.057839055,hearth,0.053597167,0.036819294,lobster buoy,0.039567523,0.029048521,leather,0.06355104,0.044454366
504,majestic,0.012339908,0.010228019,caribbean music,0.005351742,0.004794403,launcher,0.041469723,0.03510198,university,0.007844292,0.0070256656,path,0.050965816,0.044361085,bone,0.06505601,0.049503986,drill press,0.050007954,0.0406456,employees,0.043019637,0.036887683,wildebeest,0.043917738,0.033848014,tape measure,0.063807026,0.045241393,petroglyphs,0.066713005,0.047825705,stand mixer,0.04287682,0.03533901,smooth,0.0773177,0.057775687,rotor,0.053421795,0.036698826,dresser,0.039557546,0.029041193,ticket machine,0.06347799,0.044403285
505,vegetable crisper,0.012282493,0.010180429,groomer,0.0053454433,0.00478876,phone book,0.041448154,0.03508371,ear protection,0.007824683,0.0070081046,friction,0.050752886,0.04417574,tobacco,0.06496885,0.04943765,customers,0.049974333,0.04061827,lollipops,0.042972364,0.036847144,bees,0.04377435,0.033737488,shower,0.06357756,0.0450787,tissue,0.066697866,0.047814865,binocular,0.04286346,0.035327997,sporty design,0.07721177,0.057696536,edible,0.05338718,0.036675036,projection equipment,0.039538667,0.029027335,traditional,0.063421406,0.0443637
506,bed liner,0.0122661125,0.010166853,golf balls,0.005290731,0.0047397483,wig stand,0.04144084,0.035077527,hand,0.007785662,0.006973154,tripod,0.05074478,0.044168696,establishment,0.06488456,0.04937351,graffiti (optional),0.049871057,0.040534332,leafy,0.042874474,0.036763214,pepper,0.043683954,0.033667825,wheel,0.063563414,0.045068663,shift key,0.06653078,0.047695078,cells,0.042786952,0.03526494,sport,0.07702484,0.057556845,periscope,0.053220414,0.036560472,barber pole,0.0394698,0.028976776,large,0.06321864,0.044221863
507,fishing vest,0.012216095,0.010125395,historical,0.0052772462,0.004727669,tracking system,0.041440733,0.03507743,patty,0.0076723145,0.0068716356,ducklings,0.05072008,0.044147186,candy stands,0.06487552,0.04936663,brake pad,0.04984811,0.04051568,target,0.04283415,0.036728643,ceiling fan,0.043549813,0.033564445,electrical box,0.06332502,0.044899635,black bars,0.06635989,0.047572576,saucer,0.04266946,0.0351681,binder clip,0.07682663,0.057408746,pastry,0.053069204,0.0364566,balloon basket,0.03946662,0.028974446,oak tree,0.063177295,0.044192944
508,operating system,0.01221179,0.010121823,man,0.0052338047,0.004688749,wrinkled,0.04138916,0.03503378,king/queen,0.007583097,0.0067917285,neck,0.050700996,0.04413059,pool,0.06481708,0.049322166,touch,0.04981676,0.0404902,spoon rest,0.042832818,0.0367275,fielder,0.04344594,0.03348438,areola,0.063179925,0.044796757,weight indicator,0.06622952,0.047479115,nipple/areola complex,0.042573303,0.03508885,supply boats,0.07680619,0.05739346,viewfinder,0.05285687,0.036310736,electric organs,0.03946058,0.02897001,food bowl,0.063097835,0.044137362
509,finish line,0.0121826865,0.010097705,truck,0.005231914,0.004687056,straight,0.04138431,0.035029672,needle,0.0075733736,0.0067830207,giraffe,0.050643835,0.04408083,slow cooker,0.064611636,0.049165837,fishing sonar,0.049713057,0.040405907,flask,0.04281959,0.036716156,screw,0.043394253,0.03344455,cuff,0.063168906,0.044788953,meat,0.066075124,0.047368426,publishing accessory,0.04256971,0.035085894,public utility,0.076729104,0.05733587,barrier,0.05282598,0.03628951,perching,0.03943547,0.02895157,fortification,0.06308754,0.044130158
510,natural landmark,0.012169525,0.010086796,pillows,0.005164347,0.0046265256,heat shield,0.04130683,0.034964092,cargo area,0.007454521,0.0066765724,craft,0.050535444,0.04398649,picnic,0.06459048,0.049149748,bed rack,0.04962635,0.04033544,child-resistant cap,0.042743627,0.036651015,hieroglyph,0.043240227,0.033325836,anvil,0.06306166,0.044712912,canister,0.06576304,0.047144692,plug,0.042447634,0.034985274,striker,0.07649247,0.05715904,probes,0.0527093,0.036209352,shaker,0.039361164,0.028897017,retail,0.06306589,0.044115014
